4g1,51.24311508333330,-0.59260941666667,,
ac1,51.24316700000000,-0.58966600000000,,
ac2,51.24316800000000,-0.58966600000000,,
ac3,51.24315550000000,-0.58955088888889,,
ac4,51.24335027777780,-0.58990011111111,,
ac5,51.24346097222220,-0.58949425000000,,
alan,51.24415261111110,-0.58932410000000,,
alan1,51.24426400000000,-0.58901500000000,,
alan2,51.24408469444440,-0.58860550000000,,
alan3,51.24436255555560,-0.58915900000000,,
alan4,51.24413305555560,-0.58913727787779,,
alan5,51.24413305555560,-0.58913727777779,,
alanopenday1,51.24429800000000,-0.58902700000000,,
alley1,51.24256500000000,-0.59170000000000,,
alley2,51.24256500000000,-0.59170100000000,,
ap,51.24408469444440,-0.58860551000000,,
apfountain1,51.24425400000000,-0.58864300000000,,
apfountain2,51.24427200000000,-0.58866600000000,,
apfountain3,51.24424075000000,-0.58872419444544,,
apfountain4,51.24424075000000,-0.58872419444444,,
apmanagement,51.24432000000000,-0.58942700000000,,
apopenday1,51.24438100000000,-0.58900200000000,,
apopenday2,51.24440000000000,-0.58933300000000,,
apsculpture1,51.24422072222220,-0.58943966666667,,
apvanalan,51.24421419444440,-0.58925658333333,,
apwalk1,51.24415261111110,-0.58932400000000,,
ay1,51.24246024538650,-0.58683265780905,,
az1,51.24238838888890,-0.58807130555556,,
battersea,51.24206500000000,-0.58845500000000,,
battersea2,51.24212200000000,-0.58842100000000,,
battersea3,51.24214900000000,-0.58843100000000,,
batterseapath,51.24210277777780,-0.58991388888889,,
bb1,51.24343373376080,-0.58893197201144,,
bb2,51.24341694278480,-0.58894538305651,,
bblabs1,51.24348988888890,-0.58911538888789,,
bblabs2,51.24348988888890,-0.58911538888889,,
bbstairs,51.24340547222220,-0.58883616666667,,
bbview1,51.24345780555560,-0.58896897222222,,
bbview2,51.24343633333330,-0.58886519444445,,
bbview3,51.24348658333330,-0.58869400000000,,
bbview4,51.24348658333330,-0.58869410000000,,
bbview5,51.24344783333330,-0.58882761111111,,
bbview6,51.24344258333330,-0.58897719444344,,
bbview7,51.24344258333330,-0.58897719442444,,
bbview8,51.24344258333330,-0.58897719444444,,
board,51.24234369444440,-0.58838658333333,,
business1,51.24423958333330,-0.58846638888889,,
business2,51.24417738888890,-0.58821677777778,,
bylibrary1,51.24270941666670,-0.59065002777778,,
cath1,51.24125000000000,-0.59096500000000,,
cath2,51.24081100000000,-0.58986800000000,,
cathbylib,51.24289519444440,-0.59071644444444,,
cathbylib2,51.24311988888890,-0.59070002777778,,
cathinside1,51.24121510000000,-0.59001300000000,,
cathinside2,51.24108300000000,-0.59007200000000,,
cathinside3,51.24106700000000,-0.58992900000000,,
cathinside4,51.24121500000000,-0.59001300000000,,
classic,51.24394500000000,-0.58532600000000,,
classic2,51.24391300000000,-0.58546900000000,,
coffeetent1,51.24319797222220,-0.59207910000000,,
coffeetent2,51.24319797222220,-0.59207900000000,,
copse1,51.24428900000000,-0.58787800000000,,
copse2,51.24431600000000,-0.58787800000000,,
dok1,51.24248039497610,-0.58457960223654,,
field1,51.24388200000000,-0.59153100000000,,
flowers,51.24341000000000,-0.58648500000000,,
freshersfayer2,51.24381310000000,-0.59170300000000,,
freshersfayre1,51.24381300000000,-0.59170300000000,,
freshersfayre3,51.24381305000000,-0.59170310000000,,
freshersfayre4,51.24381308000000,-0.59170320000000,,
frontroom1,51.24190566666670,-0.58572927777678,,
frontroom2,51.24204688888890,-0.58622969444444,,
globe1,51.24411900000000,-0.58634000000000,,
globe2,51.24412900000000,-0.58609200000000,,
globe3,51.24415200000000,-0.58615100000000,,
ifh1,51.24336608333330,-0.59171058333333,,
ih1,51.24307602777780,-0.59228738888889,,
ih2,51.24307877777780,-0.59214519444444,,
lake1,51.24321200000000,-0.58494500000000,,
lake10,51.24403613888890,-0.58677088888789,,
lake11,51.24261191666670,-0.58504252777778,,
lake12,51.24256311111110,-0.58473622222222,,
lake2,51.24330500000000,-0.58541500000000,,
lake3,51.24330600000000,-0.58537710000000,,
lake4,51.24337208333330,-0.58613869444444,,
lake5,51.24404038888890,-0.58635269444444,,
lake6,51.24343630555560,-0.58613261111111,,
lake7,51.24404038888880,-0.58635269444444,,
lake8,51.24400419444440,-0.58686852777778,,
lake9,51.24403613888890,-0.58677088888889,,
lakecarpark1,51.24263727777780,-0.58644033333233,,
lakefountain1,51.24343600000000,-0.58716200000000,,
lakefountain2,51.24340600000000,-0.58717600000000,,
lakefountain3,51.24349230555560,-0.58732525000000,,
lakeglobe1,51.24412500000000,-0.58611400000000,,
lakeglobe2,51.24412500000000,-0.58611410000000,,
lakeside1,51.24316600000000,-0.58523800000000,,
lakeside2,51.24316600000000,-0.58523700000000,,
lakesquare,51.24324700000000,-0.58745300000000,,
lakrcarpark2,51.24263727777780,-0.58644033333333,,
lectureblock,51.24275400000000,-0.58879400000000,,
lib1,51.24249127777780,-0.58938119444445,,
lib2,51.24249127777780,-0.58938119444444,,
libboard,51.24287386111110,-0.59050005554556,,
libraryview1,51.24263527777780,-0.59006897222222,,
libtree,51.24240641666670,-0.58910552777778,,
lightbridge1,51.24350558333330,-0.59042069444444,,
lightbridge2,51.24333633333330,-0.58940233333333,,
lightbridge3,51.24342069444440,-0.58928227777778,,
ltd1,51.24279000000000,-0.58890400000000,,
managementnearwolves,51.24426300000000,-0.58798700000000,,
otter1,51.24345177777780,-0.58897908333233,,
otter2,51.24345177777780,-0.58897908333333,,
pastfield2,51.24333102777780,-0.59142791666767,,
pastfield4,51.24335375000000,-0.59143483333333,,
path1,51.24291469444440,-0.59362852777778,,
